Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,timestamp,class_id
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-718.1209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.44064,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-718.0578,0.026952758,-0.0729668,-0.07102509,0.030065654,0.08918531,0.023803143,-0.07480805,-0.068984546,0.033138543,0.089004904,0.020620901,-0.07654782,-0.066857204,0.036166675,0.08870199,0.017410897,-0.0781856,-0.06463643,0.03914474,0.08827894,0.014177293,-0.07971744,-0.06232702,0.042067047,0.08773796,0.010924321,-0.08113943,-0.05993332,0.044938795,0.03,2
-80.0,-80.0,-79.64078,-75.74162,-79.40392,-80.0,-77.48839,-77.79348,-78.2233,-74.21344,-71.33153,-73.83963,-75.49765,-77.35774,-75.66847,-75.935776,-76.713776,-77.1758,-74.13467,-79.34148,-79.949875,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-711.88934,4.910499,-2.2367089,-5.1744924,-2.9105415,-0.15784606,0.5264584,0.91443986,1.9312639,1.4222077,-1.4373734,-3.5665822,-2.2970223,0.5775886,1.7182379,0.985477,0.38513324,0.06774765,-1.1762276,-2.3712919,-1.0734147,2.2056782,3.8194804,2.1985724,0.06492117,-0.09700987,0.23316431,-1.1941873,-2.9859648,-2.1794162,0.06,2
-79.66842,-71.287025,-66.16556,-65.704636,-65.8625,-68.650795,-66.03316,-66.12073,-68.52409,-68.65292,-69.74356,-66.898224,-65.47017,-66.95393,-68.40483,-67.24431,-66.29467,-69.08064,-69.19453,-72.4471,-71.92903,-74.61859,-74.46652,-75.48729,-77.30275,-80.0,-78.99436,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-669.94714,39.337593,-7.534642,-19.145512,-4.444905,1.0368035,-6.107543,-10.20404,-8.049622,-5.0370073,-3.2946777,-2.7824047,-2.7149599,-1.8620706,-1.7762306,-4.226652,-5.8129234,-3.3159962,0.31710982,2.2394853,3.0816827,2.270865,0.2561398,0.5806496,2.8092566,2.7934167,0.3814612,-2.1395361,-3.841414,-3.26763,0.09,2
-75.01463,-63.07272,-62.909515,-62.248142,-59.474937,-59.82206,-64.35949,-66.56098,-65.27833,-61.237694,-60.38535,-54.823334,-56.24505,-58.532032,-65.21399,-67.10201,-64.00881,-65.65245,-66.73943,-69.26251,-66.48653,-66.21057,-65.34109,-65.0172,-68.127525,-69.779686,-71.52106,-74.760925,-78.64181,-78.19015,-80.0,-80.0,-80.0,-79.53394,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-628.1036,58.50242,-23.921186,-15.943667,-4.170706,-14.386022,1.0916538,8.167078,-11.877941,-18.019321,-12.486839,-12.275104,-5.705597,3.54978,4.043083,-1.185352,-6.950703,-5.8315964,0.6494987,0.21508594,-4.7737017,-6.6194324,-6.9939895,-4.1910253,0.14194623,-0.48738372,-1.0563747,1.5181603,0.55718523,-1.7596805,0.12,2
-71.6792,-63.067978,-62.12788,-61.203373,-59.454926,-62.00131,-61.27443,-59.473324,-56.504086,-57.27303,-59.13382,-54.0954,-54.828003,-55.586884,-62.80294,-65.779816,-63.51378,-62.097588,-60.615772,-66.504005,-68.03289,-71.16629,-69.53137,-69.87738,-72.534775,-73.54372,-74.2379,-75.0733,-74.05647,-74.487656,-78.01265,-78.75077,-77.85581,-77.99745,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-619.6796,71.98309,-18.334866,-28.866894,-13.562762,-7.524712,-2.9628415,-1.440027,-0.23002589,-4.180801,-10.017243,-8.795761,-3.9258811,2.7281482,-0.08091617,-11.813459,-9.016562,2.316793,4.4179974,1.5842427,-2.036666,-3.441587,-3.6135092,-4.90962,-1.8400476,-0.15644905,-1.7726444,1.3124259,1.129487,-2.3489504,0.15,2
-64.99189,-55.959553,-58.72229,-55.244667,-51.008175,-56.15843,-56.07268,-53.192204,-50.16072,-49.20768,-55.404686,-54.022892,-53.835896,-54.655655,-54.21042,-58.406315,-57.162918,-61.44996,-58.787987,-59.836582,-65.916885,-67.13121,-65.02753,-66.51532,-65.85677,-66.27782,-70.30014,-70.432816,-70.13408,-70.68299,-72.79999,-73.91145,-71.77072,-74.11373,-75.665085,-77.29094,-79.85687,-80.0,-80.0,-80.0,-577.0378,85.63112,-24.54221,-19.504387,-19.752447,-9.887697,-5.8856163,-7.964019,-6.345441,-4.876981,-3.5793009,-10.349749,-7.9797072,-5.275272,-7.3082333,-9.641439,-2.3385968,5.7222977,-1.610071,-1.9877887,-3.0854087,-6.3230095,-6.496337,-11.889199,-7.10896,-0.43314984,-5.2644567,-9.552128,-3.8018267,0.056503028,0.18,2
-69.33971,-57.934265,-59.072746,-54.6547,-55.73819,-53.043648,-51.0888,-50.956345,-53.56243,-54.62204,-55.066776,-49.94239,-47.693813,-48.625534,-47.913265,-51.54947,-52.089424,-56.88832,-58.541138,-57.58398,-61.944885,-66.21575,-64.40993,-63.770054,-65.880875,-67.58497,-68.44823,-67.690765,-69.88411,-70.82718,-72.15116,-72.142876,-72.62738,-73.59323,-74.35828,-75.031876,-79.10642,-80.0,-80.0,-80.0,-561.7631,86.75806,-38.41043,-29.818094,-18.720371,0.22506231,-2.1066518,-11.070696,-15.683708,-10.096042,-2.962881,-0.9602468,2.9007266,-0.49400473,-4.260151,-9.348206,-6.6663065,-2.0737274,-4.4381466,-3.4895196,4.4602327,2.511027,-5.324835,-3.1749413,0.7780241,1.1994743,-3.184004,-2.504003,0.3806155,-0.6522864,0.21,2
-68.56683,-50.811756,-52.170486,-46.43446,-41.796413,-49.487003,-52.12042,-46.92969,-50.058052,-48.44264,-49.78824,-46.837452,-50.31197,-51.05857,-53.456017,-50.818665,-50.165768,-52.49996,-55.881912,-54.1757,-58.826782,-61.672215,-57.02628,-54.50231,-57.895042,-61.23679,-64.00724,-62.54658,-63.737923,-63.54043,-64.57645,-64.6696,-64.226654,-66.29402,-67.121445,-70.12572,-73.93586,-80.0,-80.0,-80.0,-517.39526,78.66675,-38.416107,-5.7571564,-26.845158,-1.5183425,-16.098194,-6.731817,-16.565739,-11.453148,-4.0134087,-15.978252,-13.057949,-5.0766387,1.5137943,-10.041351,-2.8436937,2.260912,-2.1067886,-1.1080377,8.032561,1.8875915,-9.878012,-7.90403,-4.234974,-5.534186,-12.732598,-8.48223,-1.6462541,1.5534211,0.24,2
-69.56987,-55.735664,-47.296906,-50.291496,-46.739708,-44.933193,-47.88315,-51.14411,-53.165646,-51.978065,-50.44081,-52.61062,-49.794872,-47.833355,-47.01508,-48.70869,-48.98503,-49.341476,-51.105602,-56.038223,-58.89366,-62.29857,-56.71742,-55.393257,-55.281242,-59.42531,-62.937294,-63.91799,-64.42435,-65.7598,-67.28468,-67.602005,-67.049225,-67.19526,-67.5837,-69.23877,-71.496864,-80.0,-80.0,-80.0,-515.4709,81.52403,-44.802986,-10.910957,-17.244186,0.29509962,-13.727554,-12.730003,-31.09059,-9.50675,-2.2367382,-11.795385,-8.670775,-0.6733061,2.397776,-12.214403,-1.5879767,2.3652234,-3.1599069,-9.06324,-3.3242617,-3.6582139,-1.3387576,0.57895786,0.558009,1.2532262,-1.254223,1.7602988,1.00104,3.9864545,0.27,2
