MFSC_0,MFSC_1,MFSC_2,MFSC_3,MFSC_4,MFSC_5,MFSC_6,MFSC_7,MFSC_8,MFSC_9,MFSC_10,MFSC_11,MFSC_12,MFSC_13,MFSC_14,MFSC_15,MFSC_16,MFSC_17,MFSC_18,MFSC_19,MFSC_20,MFSC_21,MFSC_22,MFSC_23,MFSC_24,MFSC_25,MFSC_26,MFSC_27,MFSC_28,MFSC_29,MFSC_30,MFSC_31,MFSC_32,MFSC_33,MFSC_34,MFSC_35,MFSC_36,MFSC_37,MFSC_38,MFSC_39,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,timestamp,class_id
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-656.1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-656.1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-656.1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0
-80.0,-79.51277,-80.0,-77.18562,-73.609,-72.760895,-76.941925,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-653.7994,3.0544848,2.2404423,1.0534855,-0.2869368,-1.5366029,-2.4737778,-2.9412167,-2.8745644,-2.3117108,-1.3816502,-0.27568325,0.79267764,0.081,0
-78.177734,-70.9007,-75.07459,-74.143364,-69.11781,-67.19469,-66.124146,-72.16607,-73.03237,-71.50882,-76.829,-79.17247,-80.0,-77.794716,-78.34053,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-642.12775,17.226122,10.531675,2.5219183,-4.122695,-7.9897575,-8.98978,-7.7292814,-5.036593,-1.8759081,0.76102555,2.2608676,2.7393625,0.108,0
-75.94837,-70.95329,-67.638565,-69.788185,-63.91172,-67.01158,-65.29401,-69.363556,-69.70214,-73.544586,-76.74112,-75.569916,-76.68573,-78.14199,-77.066154,-77.35311,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-634.3028,26.89569,16.759039,4.9080086,-4.6369495,-10.134523,-11.893746,-10.920485,-8.119887,-4.4904203,-1.3595874,0.14136526,-0.09881385,0.135,0
-74.49273,-68.01877,-65.41351,-59.013634,-61.64444,-65.75741,-69.045204,-70.000755,-67.73363,-66.58376,-69.246864,-73.25377,-74.649445,-69.295586,-70.468506,-72.11688,-76.1791,-77.09642,-78.75651,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-620.3323,40.22104,17.254221,-1.6726172,-7.8221254,-6.0070515,-5.5698833,-9.105288,-11.8623905,-10.0951,-6.375704,-5.7118063,-8.6901045,0.162,0
-64.740555,-58.281097,-62.537994,-60.813477,-58.242317,-56.909668,-60.08876,-65.55471,-67.86995,-66.03767,-67.373856,-73.24359,-73.237915,-71.169495,-66.76134,-69.95393,-74.997826,-75.97769,-79.94122,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-607.4615,55.50914,26.427094,2.900828,-4.856179,-4.1267056,-6.3890934,-12.8561535,-15.79546,-10.859371,-3.141343,-0.30150962,-3.154305,0.189,0
-66.16562,-58.324425,-61.51426,-55.750435,-53.57331,-50.817383,-52.47721,-60.71591,-62.82184,-60.032753,-56.899994,-63.667595,-66.22072,-63.874374,-64.50267,-65.942535,-72.61001,-71.09985,-74.93637,-75.38779,-77.71093,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-583.45905,76.87143,23.062485,-14.982813,-21.058212,-12.94512,-10.553553,-14.516186,-16.065826,-12.885045,-8.801299,-5.9922867,-3.7543635,0.216,0
-62.945457,-58.154297,-57.372475,-49.77011,-51.687927,-52.091774,-56.35997,-57.69831,-59.910904,-60.5623,-60.50573,-62.94841,-65.96235,-64.65916,-65.630394,-66.732605,-69.661415,-67.581116,-71.96222,-76.73769,-76.73208,-77.85217,-77.21319,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-577.2543,83.04979,26.112139,-10.757734,-15.48865,-10.5791235,-12.539025,-16.900639,-15.888189,-11.512079,-9.673896,-10.526446,-9.019221,0.243,0
-64.27049,-55.575745,-62.155586,-53.335487,-51.67045,-51.6295,-57.586937,-55.198914,-58.31404,-58.495834,-59.084496,-61.053154,-64.19847,-64.19195,-63.091408,-65.16865,-67.93424,-66.80045,-69.37706,-71.17432,-71.854454,-74.0957,-76.344246,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-569.6919,84.62645,15.428957,-18.65607,-14.499546,-9.942595,-15.629343,-16.148178,-9.866811,-7.4776726,-8.996141,-8.194891,-5.739616,0.27,0
-59.276,-51.754166,-53.411163,-47.046555,-48.148888,-44.72454,-51.527214,-55.509026,-56.01258,-58.852364,-57.779068,-61.357574,-61.82543,-61.334793,-61.06321,-65.9848,-68.27629,-68.18973,-67.2035,-67.98653,-70.39856,-70.9918,-74.180725,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-555.46027,98.50633,20.845795,-13.351921,-8.58856,-8.990702,-17.336918,-15.968755,-12.585472,-17.063347,-17.245663,-7.2511177,-1.1684873,0.297,0
-57.724533,-47.989967,-48.26796,-49.53254,-49.221207,-48.533997,-50.634666,-55.177467,-55.25702,-55.385185,-56.474457,-58.218147,-55.339066,-60.294327,-60.33333,-63.391434,-67.75161,-66.06195,-67.67122,-67.92313,-70.14173,-68.49129,-71.01601,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-544.93994,107.10545,19.598349,-16.500435,-8.344273,-6.6244564,-13.484798,-10.708365,-8.633282,-15.483203,-15.885956,-6.6182375,-3.630287,0.324,0
-55.325928,-48.52498,-52.94863,-45.512962,-43.75228,-42.535652,-47.641724,-55.303444,-53.234795,-53.631752,-56.9983,-57.957283,-56.299164,-56.0776,-59.869904,-64.12899,-62.75666,-64.07077,-64.26382,-66.73881,-66.51808,-67.380486,-72.41043,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-536.08716,112.88607,15.761343,-19.450075,-5.4556217,-4.914283,-17.574032,-15.724104,-10.176585,-15.670457,-16.939167,-6.795993,-1.2246004,0.351,0
-54.995537,-49.14456,-47.211006,-42.111168,-48.037014,-41.24037,-42.59291,-50.356712,-54.15413,-52.30211,-54.2827,-53.05945,-50.296043,-57.022728,-58.898834,-60.961555,-63.091133,-59.576492,-62.4469,-63.513596,-66.36086,-69.24441,-71.304214,-76.07881,-79.493835,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-524.2034,122.83151,14.710989,-23.028233,-5.839098,-4.8043294,-19.546984,-18.005928,-10.820051,-15.852233,-19.101927,-9.88905,-0.8175639,0.378,0
-55.85549,-48.912292,-48.867023,-41.536655,-43.62177,-43.93335,-45.23484,-49.88482,-51.756973,-49.27265,-48.74775,-52.686516,-53.850594,-55.471848,-59.394577,-61.159584,-62.406235,-61.685524,-63.332123,-65.47165,-66.092255,-65.11199,-70.876305,-74.79487,-77.68632,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-519.65643,126.358215,14.304839,-24.741245,-9.750208,-9.99007,-19.818817,-12.822004,-7.3514943,-15.920301,-18.674217,-10.99325,-8.030275,0.405,0
-58.570236,-46.9479,-45.38938,-39.708588,-39.8496,-41.924614,-50.989285,-52.247,-50.612984,-47.07451,-48.882492,-50.547203,-50.61252,-53.133736,-54.822113,-56.13379,-59.86357,-60.66371,-60.317253,-65.13029,-62.436867,-64.95599,-67.319046,-73.913536,-73.98158,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-507.0345,132.88123,6.8385644,-28.857117,-6.3033834,-5.8938036,-15.791087,-10.290577,-10.552629,-21.3933,-21.780205,-14.577837,-13.443975,0.432,0
-56.399605,-48.058212,-44.38436,-40.266693,-39.435642,-38.555138,-38.7206,-44.698425,-49.425117,-48.40075,-43.96567,-43.609406,-47.873726,-49.404694,-51.029457,-54.603577,-57.839546,-56.455574,-59.38141,-59.002228,-63.687874,-63.172813,-64.65491,-71.48973,-73.935844,-78.560974,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-492.16983,143.13013,1.9806886,-34.078995,-7.3928285,-10.276594,-22.859344,-13.82781,-11.049863,-21.09758,-18.987097,-8.60763,-5.14214,0.459,0
-55.916893,-45.01626,-46.288525,-39.62197,-35.037247,-35.519768,-44.021442,-49.070644,-50.949127,-52.985382,-49.12178,-45.61567,-46.690094,-52.7079,-54.4849,-58.35485,-57.19751,-56.52556,-57.59828,-59.881622,-61.122772,-61.076263,-67.008545,-70.41332,-74.57929,-78.259834,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-493.35077,142.64297,5.5247955,-25.671387,1.3919024,-6.4112244,-23.195976,-13.955042,-10.382851,-23.105087,-24.178308,-12.113606,-3.2029295,0.486,0
-49.562386,-41.567337,-43.33879,-40.972275,-37.92591,-35.65135,-38.56772,-43.665085,-45.698624,-46.082657,-48.901993,-50.854355,-49.40822,-53.59832,-53.083748,-53.1566,-55.419876,-54.548317,-54.710625,-56.503098,-59.391724,-57.941917,-62.6528,-69.21024,-74.5599,-76.91808,-78.54795,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-480.84192,150.74582,2.259451,-25.343761,5.641506,-9.4380665,-31.448502,-16.702919,-5.631547,-14.711332,-14.32541,-5.0413003,-5.059503,0.513,0
-43.964256,-40.600624,-45.516533,-38.4598,-35.052204,-35.648148,-36.68886,-47.03504,-46.68392,-44.268387,-42.028107,-46.079178,-45.671516,-47.62433,-50.170082,-55.11847,-54.792755,-57.283432,-58.78733,-56.383087,-57.290398,-58.675293,-64.777306,-70.95342,-71.896545,-75.12616,-75.662285,-79.4728,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-472.41672,158.1527,2.7790165,-29.372398,-0.43047485,-8.378764,-20.046555,-8.015149,-7.370132,-20.28,-18.013287,-4.1824656,0.4012239,0.54,0
-47.941216,-37.771065,-42.68363,-46.109985,-36.830437,-38.863003,-39.56987,-41.442104,-42.394547,-46.108826,-46.796703,-45.08577,-44.982605,-47.87935,-50.368782,-50.207657,-51.34748,-54.357613,-52.907074,-54.72544,-54.836357,-54.29534,-62.374893,-67.27094,-71.994354,-75.57654,-76.15877,-77.71255,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-467.0651,155.3284,-11.061653,-34.616295,5.25364,-6.2929673,-22.950436,-6.650821,-1.7857435,-14.440549,-11.165893,0.8185517,-0.7420801,0.567,0
-47.896645,-39.22306,-40.10087,-36.26837,-34.499184,-37.889442,-41.167637,-43.603333,-43.09375,-43.70906,-45.41767,-43.489967,-49.093952,-46.33284,-46.35801,-50.663437,-49.81675,-52.39012,-55.2978,-56.810905,-56.113007,-55.739388,-63.130013,-69.214584,-72.15889,-75.33182,-76.300514,-77.24075,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-460.99588,164.80481,-2.32172,-30.183369,8.01201,-0.64311177,-18.350325,-8.794819,-6.833825,-16.836945,-13.224056,-4.75469,-8.5953045,0.594,0
